Vgs (V),Vds (V),Ids (A)
1.00E-01,-6.77E-01,-3.54E-03
1.00E-01,-6.87E-01,-3.54E-03
1.00E-01,-6.97E-01,-3.55E-03
1.00E-01,-7.07E-01,-3.56E-03
1.00E-01,-7.17E-01,-3.56E-03
1.00E-01,-7.27E-01,-3.57E-03
1.00E-01,-7.37E-01,-3.57E-03
1.00E-01,-7.47E-01,-3.58E-03
1.00E-01,-7.58E-01,-3.58E-03
1.00E-01,-7.68E-01,-3.57E-03
1.00E-01,-7.78E-01,-3.58E-03
1.00E-01,-7.88E-01,-3.58E-03
1.00E-01,-7.98E-01,-3.58E-03
2.00E-01,-7.69E-05,2.00E-07
2.00E-01,-7.76E-03,-5.08E-05
2.00E-01,-2.02E-02,-1.38E-04
2.00E-01,-3.03E-02,-2.10E-04
2.00E-01,-4.04E-02,-2.82E-04
2.00E-01,-5.05E-02,-3.53E-04
2.00E-01,-6.06E-02,-4.24E-04
2.00E-01,-7.07E-02,-4.95E-04
2.00E-01,-8.08E-02,-5.63E-04
2.00E-01,-9.09E-02,-6.33E-04
2.00E-01,-1.01E-01,-6.99E-04
2.00E-01,-1.11E-01,-7.65E-04
2.00E-01,-1.21E-01,-8.30E-04
2.00E-01,-1.31E-01,-8.93E-04
2.00E-01,-1.41E-01,-9.56E-04
2.00E-01,-1.52E-01,-1.02E-03
2.00E-01,-1.62E-01,-1.07E-03
2.00E-01,-1.72E-01,-1.13E-03
2.00E-01,-1.82E-01,-1.19E-03
2.00E-01,-1.92E-01,-1.25E-03
2.00E-01,-2.02E-01,-1.30E-03
2.00E-01,-2.12E-01,-1.35E-03
2.00E-01,-2.22E-01,-1.40E-03
2.00E-01,-2.32E-01,-1.45E-03
2.00E-01,-2.42E-01,-1.50E-03
2.00E-01,-2.53E-01,-1.55E-03
2.00E-01,-2.63E-01,-1.60E-03
2.00E-01,-2.73E-01,-1.64E-03
2.00E-01,-2.83E-01,-1.68E-03
2.00E-01,-2.93E-01,-1.73E-03
2.00E-01,-3.03E-01,-1.77E-03
2.00E-01,-3.13E-01,-1.80E-03
